S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price ($),Nett Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Sale
1,THE MAYFAIR,JURONG EAST STREET 32,Condominium,22,OCR,99 yrs lease commencing from 1996,Resale,1,1080000,-,1227,Strata,11 to 15,880,18-Feb
2,THE LAKESHORE,JURONG WEST STREET 41,Condominium,22,OCR,99 yrs lease commencing from 2002,Resale,1,1305000,-,1173,Strata,11 to 15,1112,18-Feb
3,CLOVER BY THE PARK,BISHAN STREET 25,Condominium,20,RCR,99 yrs lease commencing from 2007,Resale,1,2118000,-,1765,Strata,21 to 25,1200,18-Feb
4,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,Resale,1,1050000,-,678,Strata,01 to 05,1548,18-Feb
5,THE GARDENS AT BISHAN,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,938000,-,883,Strata,06 to 10,1063,18-Feb
6,THOMSON THREE,BRIGHT HILL DRIVE,Apartment,20,RCR,99 yrs lease commencing from 2012,Resale,1,1670000,-,1033,Strata,16 to 20,1616,18-Feb
7,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 years leasehold,New Sale,1,1165000,-,883,Strata,01 to 05,1320,18-Feb
8,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1875000,-,1292,Strata,06 to 10,1452,18-Feb
9,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 years leasehold,New Sale,1,2609000,-,2121,Strata,16 to 20,1230,18-Feb
10,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 years leasehold,New Sale,1,1459295,-,1055,Strata,16 to 20,1383,18-Feb
11,PARC OASIS,JURONG EAST AVENUE 1,Condominium,22,OCR,99 yrs lease commencing from 1991,Resale,1,1200000,-,1378,Strata,01 to 05,871,18-Feb
12,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1958900,-,1399,Strata,01 to 05,1400,18-Feb
13,J GATEWAY,GATEWAY DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2012,Resale,1,900000,-,474,Strata,16 to 20,1900,18-Feb
14,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 years leasehold,New Sale,1,1557000,-,1012,Strata,16 to 20,1539,18-Feb
15,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,Resale,1,803000,-,484,Strata,06 to 10,1658,18-Feb
16,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,Resale,1,1338000,-,797,Strata,26 to 30,1680,18-Feb
17,THREE 11,UPPER THOMSON ROAD,Apartment,20,RCR,Freehold,Resale,1,1800000,-,1130,Strata,01 to 05,1593,18-Feb
18,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,690000,-,764,Strata,01 to 05,903,18-Feb
19,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,620000,-,603,Strata,01 to 05,1029,18-Feb
20,THE MAYFAIR,JURONG EAST STREET 32,Condominium,22,OCR,99 yrs lease commencing from 1996,Resale,1,1055000,-,1163,Strata,16 to 20,908,18-Feb
21,THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2010,Resale,1,760000,-,484,Strata,01 to 05,1569,18-Feb
22,THE LAKESHORE,JURONG WEST STREET 41,Condominium,22,OCR,99 yrs lease commencing from 2002,Resale,1,1470000,-,1464,Strata,01 to 05,1004,18-Feb
23,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1576700,-,1012,Strata,11 to 15,1558,18-Feb
24,BISHAN 8,BISHAN STREET 21,Condominium,20,RCR,99 yrs lease commencing from 1996,Resale,1,1355000,-,1163,Strata,01 to 05,1166,18-Feb
25,COUNTRY GRANDEUR,LORONG PUNTONG,Condominium,20,RCR,Freehold,Resale,1,1780000,-,1442,Strata,11 to 15,1234,18-Feb
26,CASPIAN,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2008,Resale,1,900000,-,872,Strata,06 to 10,1032,18-Feb
27,THE CENTRIS,JURONG WEST CENTRAL 3,Apartment,22,OCR,99 yrs lease commencing from 2006,Resale,1,1250000,-,1227,Strata,06 to 10,1019,18-Feb
28,ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2000,Resale,1,1050000,-,1475,Strata,01 to 05,712,18-Feb
29,LAKEHOLMZ,CORPORATION ROAD,Condominium,22,OCR,99 yrs lease commencing from 2001,Resale,1,1145000,-,1324,Strata,06 to 10,865,18-Feb
30,THE MAYFAIR,JURONG EAST STREET 32,Condominium,22,OCR,99 yrs lease commencing from 1996,Resale,1,720000,-,635,Strata,06 to 10,1134,18-Feb
31,THOMSON GRAND,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 2010,Resale,1,1950000,-,1410,Strata,16 to 20,1383,18-Feb
32,THOMSON GRAND,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 2010,Resale,1,1850000,-,1399,Strata,16 to 20,1322,18-Feb
33,THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2010,Resale,1,745000,-,495,Strata,06 to 10,1505,18-Feb
34,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,Resale,1,1013000,-,678,Strata,06 to 10,1494,18-Feb
35,CASPIAN,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2008,Resale,1,1030000,-,1001,Strata,11 to 15,1029,18-Feb
36,LAKEHOLMZ,CORPORATION ROAD,Condominium,22,OCR,99 yrs lease commencing from 2001,Resale,1,930000,-,1023,Strata,06 to 10,909,18-Feb
37,GRANDEUR 8,ANG MO KIO CENTRAL 3,Condominium,20,OCR,99 yrs lease commencing from 2002,Resale,1,1150000,-,1130,Strata,16 to 20,1018,18-Feb
38,PARC OASIS,JURONG EAST AVENUE 1,Condominium,22,OCR,99 yrs lease commencing from 1991,Resale,1,1060000,-,1227,Strata,11 to 15,864,18-Feb
39,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1860100,-,1292,Strata,06 to 10,1440,18-Feb
40,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,3082100,-,2056,Strata,31 to 35,1499,18-Feb
41,THOMSON GRAND,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 2010,Resale,1,1780000,-,1367,Strata,11 to 15,1302,18-Feb
42,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,Resale,1,1700000,-,1302,Strata,06 to 10,1305,18-Feb
43,PARC VISTA,CORPORATION ROAD,Condominium,22,OCR,99 yrs lease commencing from 1995,Resale,1,900000,-,1055,Strata,11 to 15,853,18-Feb
