"URBAN REDEVELOPMENT AUTHORITY - RENTAL CONTRACTS OF PRIVATE RESIDENTIAL PROPERTIES"

"S/N","Building/Project Name","Street Name","Postal District","Type","No. of Bedroom(for Non-Landed Only)","Monthly Gross Rent($)","Floor Area (sq m)","Lease Commencement Date"
"1","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2400","120 to 130","Jan-2018"
"2","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2300","110 to 120","Jan-2018"
"3","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","2","2000","90 to 100","Jan-2018"
"4","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","2000","90 to 100","Jan-2018"
"5","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2500","130 to 140","Jan-2018"
"6","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","1700","100 to 110","Jan-2018"
"7","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3200","100 to 110","Jan-2018"
"8","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","110 to 120","Jan-2018"
"9","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2800","110 to 120","Jan-2018"
"10","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2100","120 to 130","Jan-2018"
"11","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3400","130 to 140","Jan-2018"
"12","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2000","110 to 120","Jan-2018"
"13","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","2000","90 to 100","Jan-2018"
"14","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2500","120 to 130","Jan-2018"
"15","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2500","110 to 120","Jan-2018"
"16","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2800","130 to 140","Jan-2018"
"17","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2250","110 to 120","Jan-2018"
"18","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2250","110 to 120","Jan-2018"
"19","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","2800","110 to 120","Jan-2018"
"20","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2600","110 to 120","Jan-2018"
"21","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","3000","120 to 130","Jan-2018"
"22","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3800","130 to 140","Jan-2018"
"23","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2550","120 to 130","Jan-2018"
"24","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2900","130 to 140","Jan-2018"
"25","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","110 to 120","Jan-2018"
"26","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2300","110 to 120","Jan-2018"
"27","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2500","110 to 120","Jan-2018"
"28","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2400","130 to 140","Jan-2018"
"29","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2700","130 to 140","Jan-2018"
"30","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2800","120 to 130","Jan-2018"
"31","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","2900","120 to 130","Jan-2018"
"32","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2300","110 to 120","Jan-2018"
"33","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","2850","100 to 110","Jan-2018"
"34","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2200","110 to 120","Jan-2018"
